ibge_code,municipio,regiao_intermediaria,regiao_imediata,populacao_censo_2022,total_denuncias,total_penal,denuncias_unicas,denuncias_unicas_penal,sem_grupo_total,sem_grupo_penal,criancas_total,criancas_penal,mulheres_total,mulheres_penal,idosos_total,idosos_penal,pcd_total,pcd_penal,lgbt_total,lgbt_penal,prisional_total,prisional_penal,denuncias_unicas_maioria_penal,total_registros,total_social,taxa_total_10k,taxa_penal_10k,taxa_denuncias_unicas_10k,taxa_denuncias_maioria_penal_10k,taxa_criancas_10k,taxa_criancas_penal_10k,taxa_mulheres_10k,taxa_mulheres_penal_10k,taxa_idosos_10k,taxa_idosos_penal_10k,taxa_pcd_10k,taxa_pcd_penal_10k,taxa_lgbt_10k,taxa_lgbt_penal_10k,taxa_prisional_10k,taxa_prisional_penal_10k
4202438,Bocaina do Sul,Lages,Lages,3515,1405,756,197,186,39,22,787,392,80,50,466,280,179,112,0,0,0,0,123,1405,649,3997.16,2150.78,560.46,349.93,2238.98,1115.22,227.6,142.25,1325.75,796.59,509.25,318.63,0.0,0.0,0.0,0.0
4202503,Bom Jardim da Serra,Lages,Lages,4026,399,247,60,55,31,15,289,180,17,12,38,22,20,16,9,6,0,0,37,399,152,991.06,613.51,149.03,91.9,717.83,447.09,42.23,29.81,94.39,54.64,49.68,39.74,22.35,14.9,0.0,0.0
4202537,Bom Jesus,Chapecó,Xanxerê,2777,551,308,72,65,24,11,253,148,0,0,264,146,138,81,0,0,2,2,37,551,243,1984.16,1109.11,259.27,133.24,911.06,532.95,0.0,0.0,950.67,525.75,496.94,291.68,0.0,0.0,7.2,7.2
4202578,Bom Jesus do Oeste,Chapecó,Maravilha,2187,19,13,2,2,1,1,8,3,0,0,9,8,1,1,1,1,0,0,2,19,6,86.88,59.44,9.14,9.14,36.58,13.72,0.0,0.0,41.15,36.58,4.57,4.57,4.57,4.57,0.0,0.0
4202602,Bom Retiro,Lages,Lages,8418,1120,636,172,168,28,19,870,501,70,42,184,99,56,27,1,0,0,0,85,1120,484,1330.48,755.52,204.32,100.97,1033.5,595.15,83.16,49.89,218.58,117.61,66.52,32.07,1.19,0.0,0.0,0.0
4202453,Bombinhas,Blumenau,Itajaí,25058,2339,1464,313,297,188,127,1237,732,112,69,534,334,423,292,281,206,2,2,205,2339,875,933.43,584.24,124.91,81.81,493.65,292.12,44.7,27.54,213.11,133.29,168.81,116.53,112.14,82.21,0.8,0.8
4202701,Botuverá,Blumenau,Brusque,5363,67,34,7,7,0,0,40,20,3,2,24,12,15,8,6,4,0,0,3,67,33,124.93,63.4,13.05,5.59,74.59,37.29,5.59,3.73,44.75,22.38,27.97,14.92,11.19,7.46,0.0,0.0
4202800,Braço do Norte,Criciúma,Tubarão,33773,2108,1305,281,258,78,54,1414,844,20,18,567,372,252,151,1,0,2,1,178,2108,803,624.17,386.4,83.2,52.7,418.68,249.9,5.92,5.33,167.89,110.15,74.62,44.71,0.3,0.0,0.59,0.3
4202859,Braço do Trombudo,Blumenau,Rio do Sul,4026,219,146,18,18,7,4,103,58,18,11,87,71,33,26,0,0,0,0,13,219,73,543.96,362.64,44.71,32.29,255.84,144.06,44.71,27.32,216.1,176.35,81.97,64.58,0.0,0.0,0.0,0.0
4202875,Brunópolis,Lages,Curitibanos,2489,159,97,23,22,2,0,50,26,7,5,55,27,58,48,0,0,0,0,13,159,62,638.81,389.71,92.41,52.23,200.88,104.46,28.12,20.09,220.97,108.48,233.03,192.85,0.0,0.0,0.0,0.0
